"Hm0","THp","Tm01","Tm02","Tp","U10","wind_dir"
4.9,285.3,11.6,10.1,12.6,6.3,255.6
4.9,285.9,11.9,10.7,12.9,1.9,227
4.9,208.4,12.1,11,12.9,5.4,100.2
4.9,211.1,12.4,11.3,13.5,10.8,95.8
5,212.7,12.5,11.1,13.8,12.3,116.9
5.4,213.2,11.8,9.1,14.1,14.9,166.9
6.5,209.3,11,8.6,13.7,18.4,199.4
7.4,210.3,11.1,9,12.8,18.4,199.8
7.8,211.7,11.5,9.5,13.3,18.2,207.6
8,212.9,11.8,9.8,13.6,18.3,211.4
7.8,213.4,11.9,9.8,13.6,17,209
7.1,213.4,11.8,9.8,13.5,14.5,204.6
6.3,214.7,11.5,9.6,13.3,14.1,217.9
6.1,217.7,11.1,9.1,12.6,15.3,224.7
6.2,221.3,10.8,8.9,12.6,15.6,222.6
6.3,223.9,11.1,9.2,12.7,14.3,225.3
6.5,236.4,11.7,9.7,13.2,14.1,238
7,252.4,12.1,9.7,14.1,16.8,271.4
7.9,260.2,12.1,9.7,14.8,18.5,279.2
8.4,262.2,12.4,10.1,15,17,268.7
8,259.7,12.7,10.4,15.1,15.5,259.4
7.3,258.6,12.6,10.4,15,14.1,251.5
6.5,258.5,12.3,10.2,14.7,12.6,245.4
5.8,258.8,12,10,14.3,10.8,238.5
5.1,259,11.8,9.8,14.1,9,228.8
4.5,259,11.5,9.7,13.4,8.3,217.8
4,258.7,11.2,9.4,13,7.7,214.3
3.6,258.1,10.9,9.3,13,6.3,210
3.2,257.2,10.7,9.3,12.3,5.5,193.8
3,255.7,10.5,9.1,12,5.9,176.5
2.8,251.8,10.3,8.7,11.6,6.3,160.5
2.9,246.4,10.5,8.5,11.7,6.5,161.9
3.1,242.9,10.7,8.4,11.6,7.9,190.2
3.6,240.6,10.2,7.5,12.9,12.2,203.3
4.6,236,9.2,7.1,13.2,15.8,199.6
5.4,227.6,9.5,7.8,10.5,16,209
6,233,10.2,8.4,11.7,16.4,212
6.5,242.4,10.9,8.9,12.7,16.2,211
6.7,255.1,11.5,9.3,13.7,15.3,211.9
6.7,258.9,11.9,9.6,14.3,14.2,217.7
6.6,262.9,12.2,9.8,14.7,13.2,225.9
6.4,268,12.4,9.9,14.8,12.7,233.9
6.2,270.3,12.4,9.8,14.8,12.6,240.1
6.1,271.8,12.3,9.7,14.8,12.3,239.6
5.9,272.8,12.2,9.5,14.7,12.4,228.9
5.9,273.2,11.8,9.1,14.6,13.7,224.1
6,272.8,11.3,8.8,14.2,14.5,226.8
6.1,271.7,11,8.7,13.6,14.9,226.4
6.1,270.4,10.9,8.7,12.7,15.4,223.3
6.1,269.3,10.8,8.7,12.5,15.2,216
6,268.7,10.8,8.8,13,14.6,209
6,267.7,10.8,8.8,12.4,15,226.7
6.2,230.8,10.7,8.8,12,16.3,231.4
6.4,231,10.7,8.8,12.1,16.9,227.5
6.6,231.1,10.7,8.9,12.1,17.1,229.7
6.7,233.4,10.8,8.9,12.2,17.2,234.1
6.8,236,10.9,9,12.3,17.5,235.7
7,239.1,11,9.1,12.4,17.9,234.9
7.2,243.2,11.2,9.2,12.7,17.8,234.1
7.2,267.8,11.4,9.3,12.7,17.2,232.6
7.1,271.3,11.5,9.3,13.2,16.6,229.4
6.9,273.8,11.6,9.2,13.6,16,226.2
6.6,275.2,11.5,9.1,14.7,14.9,224.9
6.1,276,11.5,9,14.7,13.2,221
5.4,276.5,11.4,8.9,14.4,11.1,204.2
4.9,277,11.1,8.7,14,11.4,171.1
4.9,277.4,10.2,7.8,14,15.1,157.8
5.8,187.3,9.9,8.2,10.4,15.4,180.1
